"Gross domestic product (GDP) at basic prices, by industry, monthly (x 1,000,000) 1 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 36-10-0434-01 (formerly CANSIM 379-0031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2023-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography: Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seasonal adjustment,Seasonally adjusted at annual rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices,Chained (2017) dollars 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North American Industry Classification System (NAICS),Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All industries  [T001] 4,"2,067,478","2,061,962","2,073,732","2,086,598","2,092,359","2,096,319","2,097,225","2,097,381","2,098,372","2,099,541","2,099,164","2,109,773","2,114,210","2,118,330","1,959,569","1,749,376","1,829,021","1,935,578","1,985,603","2,004,911","2,023,883","2,035,550","2,049,508","2,052,921","2,061,870","2,065,797","2,088,503","2,067,190","2,058,230","2,076,121","2,089,072","2,105,441","2,111,870","2,127,417","2,137,002","2,140,435","2,138,449","2,154,659","2,169,435","2,167,945","2,173,925","2,179,345","2,180,920","2,187,444","2,191,747","2,187,842","2,187,964","2,181,765","2,196,704","2,201,725","2,204,975","2,204,017","2,210,739","2,207,162","2,205,721","2,205,956","2,206,911","2,207,681"
Goods-producing industries  [T002] 4,"558,703","557,700","563,088","569,995","573,348","572,246","568,252","566,933","567,269","566,814","565,109","566,539","564,416","569,394","541,362","459,461","499,378","526,681","536,761","538,830","542,701","546,101","552,321","556,094","561,315","558,849","565,374","561,939","556,921","560,464","556,448","557,143","553,581","563,630","564,170","567,810","574,718","577,927","582,189","583,030","581,533","585,385","583,804","586,304","586,466","582,069","581,719","575,568","579,377","581,069","582,460","581,386","579,729","578,139","576,678","574,689","576,243","576,080"
Service-producing industries  [T003] 4,"1,508,902","1,504,365","1,510,723","1,516,636","1,519,029","1,524,125","1,529,043","1,530,541","1,531,214","1,532,876","1,534,245","1,543,433","1,549,655","1,549,060","1,419,280","1,289,139","1,330,132","1,409,246","1,448,916","1,465,909","1,480,918","1,489,213","1,497,148","1,497,040","1,500,996","1,507,168","1,523,400","1,505,704","1,501,558","1,515,820","1,532,252","1,547,625","1,557,206","1,563,080","1,571,930","1,571,865","1,563,427","1,576,370","1,586,970","1,584,798","1,592,106","1,593,882","1,596,927","1,601,040","1,605,145","1,605,422","1,605,871","1,605,494","1,616,605","1,619,937","1,621,786","1,621,817","1,629,923","1,627,845","1,627,784","1,629,840","1,629,350","1,630,234"
Business sector industries  [T004],"1,683,129","1,677,327","1,688,321","1,700,896","1,706,183","1,709,859","1,709,609","1,709,532","1,710,516","1,710,467","1,709,535","1,718,742","1,721,698","1,725,137","1,588,427","1,395,030","1,465,126","1,565,803","1,606,125","1,620,117","1,635,735","1,645,428","1,658,584","1,659,874","1,667,973","1,670,048","1,688,589","1,671,161","1,658,313","1,673,332","1,684,119","1,700,448","1,705,042","1,721,591","1,730,268","1,733,248","1,733,014","1,747,118","1,762,295","1,760,095","1,764,173","1,768,161","1,769,043","1,774,982","1,778,604","1,772,313","1,770,695","1,763,427","1,777,078","1,780,600","1,782,775","1,783,850","1,787,539","1,782,795","1,779,875","1,778,825","1,778,873","1,778,504"
Non-business sector industries  [T007],"384,414","384,691","385,476","385,743","386,218","386,496","387,611","387,828","387,818","389,033","389,554","390,918","392,858","393,529","371,110","353,338","363,095","369,515","379,178","384,420","387,795","389,795","390,697","392,794","393,744","395,539","399,720","395,822","399,453","402,317","404,489","404,626","406,410","405,541","406,452","406,875","405,153","407,316","407,082","407,800","409,702","411,173","411,876","412,509","413,206","415,482","417,174","418,147","419,513","420,968","421,976","419,990","422,925","423,995","425,380","426,593","427,488","428,547"
Industrial production  [T010] 4,"372,179","371,757","376,323","382,786","383,893","380,538","374,887","374,923","374,872","374,248","372,038","372,860","370,828","375,615","351,923","296,808","316,098","334,459","347,016","349,416","352,859","354,538","360,815","363,633","367,013","362,228","365,770","358,720","358,337","364,588","364,103","366,327","363,658","371,165","369,570","372,061","375,661","376,938","379,771","381,085","380,012","383,096","380,927","382,126","383,262","377,885","378,293","374,332","377,321","380,218","381,883","381,113","381,809","381,038","380,103","378,396","378,805","378,426"
Non-durable manufacturing industries  [T011] 4,"95,724","94,758","95,029","95,460","96,094","94,932","94,505","94,639","95,117","95,755","96,030","96,025","94,412","95,026","92,535","80,034","84,234","89,605","93,021","92,892","94,161","95,577","97,124","95,679","97,371","95,433","96,816","96,039","95,150","96,970","97,236","98,019","96,879","98,956","99,158","99,177","99,998","100,940","101,522","99,851","98,293","98,608","98,674","98,757","98,926","97,766","96,230","95,495","95,878","94,989","95,840","95,308","96,600","96,138","95,411","94,785","95,487","95,641"
Durable manufacturing industries  [T012] 4,"118,304","118,208","119,227","117,396","121,003","119,856","119,247","118,896","118,368","116,614","117,067","115,918","111,343","113,449","99,456","74,095","85,184","101,124","106,112","109,583","110,029","108,824","110,531","110,914","112,226","110,037","111,727","107,919","107,785","109,599","107,989","108,723","107,104","110,053","111,296","111,822","113,471","114,198","116,495","116,725","116,566","118,515","115,774","115,590","116,266","114,679","115,949","114,976","117,004","118,759","118,358","117,520","120,101","119,177","117,409","117,049","117,604","116,110"
Information and communication technology sector  [T013] 4,"99,893","100,655","101,002","101,515","101,878","103,221","103,150","104,049","104,585","104,996","106,286","107,122","105,826","106,189","102,406","103,472","103,478","104,930","106,183","107,032","107,259","108,894","109,856","109,403","112,318","111,027","110,997","111,250","111,568","111,664","112,762","113,820","115,142","116,390","117,637","118,877","120,158","121,294","121,632","121,905","122,765","123,211","125,131","125,334","126,195","126,365","125,604","125,430","125,365","126,180","125,427","125,844","125,849","126,531","125,132","125,309","125,123","124,810"
